model,train,feature,importance
lightgbm,2022-2022,return_1w,0.0
lightgbm,2022-2022,momentum_4w,0.0
lightgbm,2022-2022,momentum_12w,1.0
lightgbm,2022-2022,volatility_12w,2.0
lightgbm,2022-2022,volume_ratio_4w,2.0
lightgbm,2022-2022,mentions_sum_log,0.0
lightgbm,2022-2022,mentions_abnormal_w,1.0
lightgbm,2022-2022,mentions_momentum_w,2.0
lightgbm,2022-2022,mentions_peak_ratio,3.0
lightgbm,2022-2022,trends_log,3.0
lightgbm,2022-2022,trends_abnormal_w,0.0
lightgbm,2022-2022,trends_mentions_divergence_w,0.0
random_forest,2022-2022,return_1w,0.09526980074376655
random_forest,2022-2022,momentum_4w,0.08345864824152685
random_forest,2022-2022,momentum_12w,0.11860713281049935
random_forest,2022-2022,volatility_12w,0.0821243783164921
random_forest,2022-2022,volume_ratio_4w,0.0971905188589236
random_forest,2022-2022,mentions_sum_log,0.0799740446856375
random_forest,2022-2022,mentions_abnormal_w,0.0809425889134943
random_forest,2022-2022,mentions_momentum_w,0.0870351619835323
random_forest,2022-2022,mentions_peak_ratio,0.07829657099123401
random_forest,2022-2022,trends_log,0.042590849308251244
random_forest,2022-2022,trends_abnormal_w,0.0622324045784557
random_forest,2022-2022,trends_mentions_divergence_w,0.09227790056818662
extra_trees,2022-2022,return_1w,0.0695908366970056
extra_trees,2022-2022,momentum_4w,0.07963109837557482
extra_trees,2022-2022,momentum_12w,0.09529104427091849
extra_trees,2022-2022,volatility_12w,0.09169475699841993
extra_trees,2022-2022,volume_ratio_4w,0.09373522389861619
extra_trees,2022-2022,mentions_sum_log,0.1205218766833401
extra_trees,2022-2022,mentions_abnormal_w,0.08004873596390992
extra_trees,2022-2022,mentions_momentum_w,0.03189735388226783
extra_trees,2022-2022,mentions_peak_ratio,0.06819656886607803
extra_trees,2022-2022,trends_log,0.11865129490342054
extra_trees,2022-2022,trends_abnormal_w,0.07455391898636096
extra_trees,2022-2022,trends_mentions_divergence_w,0.07618729047408752
lightgbm,2022-2023,return_1w,18.0
lightgbm,2022-2023,momentum_4w,24.0
lightgbm,2022-2023,momentum_12w,20.0
lightgbm,2022-2023,volatility_12w,29.0
lightgbm,2022-2023,volume_ratio_4w,31.0
lightgbm,2022-2023,mentions_sum_log,17.0
lightgbm,2022-2023,mentions_abnormal_w,11.0
lightgbm,2022-2023,mentions_momentum_w,34.0
lightgbm,2022-2023,mentions_peak_ratio,42.0
lightgbm,2022-2023,trends_log,8.0
lightgbm,2022-2023,trends_abnormal_w,29.0
lightgbm,2022-2023,trends_mentions_divergence_w,31.0
random_forest,2022-2023,return_1w,0.08864534562700656
random_forest,2022-2023,momentum_4w,0.10348940519367861
random_forest,2022-2023,momentum_12w,0.08428229205259674
random_forest,2022-2023,volatility_12w,0.09008613389242387
random_forest,2022-2023,volume_ratio_4w,0.07215448712958253
random_forest,2022-2023,mentions_sum_log,0.062331417412411244
random_forest,2022-2023,mentions_abnormal_w,0.07011296724063047
random_forest,2022-2023,mentions_momentum_w,0.09930681713246022
random_forest,2022-2023,mentions_peak_ratio,0.11544652798464154
random_forest,2022-2023,trends_log,0.045639736408386956
random_forest,2022-2023,trends_abnormal_w,0.07193147976423693
random_forest,2022-2023,trends_mentions_divergence_w,0.09657339016194441
extra_trees,2022-2023,return_1w,0.06976599223408288
extra_trees,2022-2023,momentum_4w,0.0917407374775057
extra_trees,2022-2023,momentum_12w,0.0793859904246524
extra_trees,2022-2023,volatility_12w,0.10518800255365289
extra_trees,2022-2023,volume_ratio_4w,0.04947405493113363
extra_trees,2022-2023,mentions_sum_log,0.07284591274447809
extra_trees,2022-2023,mentions_abnormal_w,0.0686550757798057
extra_trees,2022-2023,mentions_momentum_w,0.025185264533406096
extra_trees,2022-2023,mentions_peak_ratio,0.14961822201984057
extra_trees,2022-2023,trends_log,0.12156876512422785
extra_trees,2022-2023,trends_abnormal_w,0.07434355247310143
extra_trees,2022-2023,trends_mentions_divergence_w,0.09222842970411284
