model,train,split,year,calibrated,n,accuracy,auc,ic,ic_tstat,ic_pval
lightgbm,2022-2022,val,2023,False,1040,0.4433,0.4934,-0.0115,-0.37,0.7112
lightgbm,2022-2022,test,2024,False,1040,0.4548,0.4962,-0.0066,-0.214,0.8306
lightgbm,2022-2022,test,2024,True,1040,0.5452,0.5038,0.0066,0.214,0.8306
random_forest,2022-2022,val,2023,False,1040,0.4385,0.4885,-0.0198,-0.639,0.5227
random_forest,2022-2022,test,2024,False,1040,0.4548,0.5218,0.0377,1.214,0.2249
random_forest,2022-2022,test,2024,True,1040,0.5452,0.4782,-0.0377,-1.214,0.2249
extra_trees,2022-2022,val,2023,False,1040,0.4433,0.4827,-0.0298,-0.961,0.3367
extra_trees,2022-2022,test,2024,False,1040,0.4548,0.4932,-0.0117,-0.376,0.7073
extra_trees,2022-2022,test,2024,True,1040,0.5442,0.5068,0.0117,0.376,0.7073
logistic_l2,2022-2022,val,2023,False,1040,0.4404,0.4944,-0.0097,-0.313,0.7542
logistic_l2,2022-2022,test,2024,False,1040,0.4567,0.5027,0.0047,0.15,0.8807
logistic_l2,2022-2022,test,2024,True,1040,0.5452,0.4973,-0.0047,-0.15,0.8807
logistic_l1,2022-2022,val,2023,False,1040,0.4433,0.5115,0.0197,0.636,0.5248
logistic_l1,2022-2022,test,2024,False,1040,0.4548,0.5108,0.0185,0.598,0.5502
logistic_l1,2022-2022,test,2024,True,1040,0.5452,0.5108,0.0185,0.598,0.5502
dummy,2022-2022,val,2023,False,1040,0.4433,0.5,,,
dummy,2022-2022,test,2024,False,1040,0.4548,0.5,,,
lightgbm,2022-2023,val,2024,False,1040,0.5106,0.5256,0.0442,1.426,0.154
lightgbm,2022-2023,test,2025,False,1040,0.5038,0.5078,0.0136,0.437,0.6623
lightgbm,2022-2023,test,2025,True,1040,0.5192,0.5078,0.0136,0.437,0.6623
random_forest,2022-2023,val,2024,False,1040,0.5163,0.5245,0.0422,1.361,0.1738
random_forest,2022-2023,test,2025,False,1040,0.5087,0.5111,0.0192,0.619,0.536
random_forest,2022-2023,test,2025,True,1040,0.5192,0.5111,0.0192,0.619,0.536
extra_trees,2022-2023,val,2024,False,1040,0.501,0.5239,0.0412,1.327,0.1847
extra_trees,2022-2023,test,2025,False,1040,0.5115,0.5147,0.0254,0.818,0.4137
extra_trees,2022-2023,test,2025,True,1040,0.5212,0.5147,0.0254,0.818,0.4137
logistic_l2,2022-2023,val,2024,False,1040,0.5212,0.5183,0.0315,1.016,0.3097
logistic_l2,2022-2023,test,2025,False,1040,0.4885,0.4925,-0.0129,-0.416,0.6775
logistic_l2,2022-2023,test,2025,True,1040,0.5183,0.4925,-0.0129,-0.416,0.6775
logistic_l1,2022-2023,val,2024,False,1040,0.5087,0.518,0.031,0.999,0.3182
logistic_l1,2022-2023,test,2025,False,1040,0.4971,0.503,0.0052,0.167,0.8678
logistic_l1,2022-2023,test,2025,True,1040,0.5183,0.503,0.0052,0.167,0.8678
dummy,2022-2023,val,2024,False,1040,0.4548,0.5,,,
dummy,2022-2023,test,2025,False,1040,0.4817,0.5,,,
